id,value,LeastPrivilegeRole,adminConsentDescription,adminConsentDisplayName
104a7a4b-ca76-4677-b7e7-2f4bc482f381,AttackSimulation.Read.All,Attack Simulation Administrator,Allows the app to read attack simulation and training data for an organization for the signed-in user.,Read attack simulation data of an organization
e4c9e354-4dc5-45b8-9e7c-e1393b0b1a20,AuditLog.Read.All,Reports Reader,"Allows the app to read and query your audit log activities, on behalf of the signed-in user.",Read audit log data
ba78b16f-1e01-41b6-89ca-73e0a32b304c,AuditLogsQuery-CRM.Read.All,Reports Reader,"Allows the app to read and query audit logs from Dynamics CRM workload, on behalf of the signed-in user.",Read audit logs data from Dynamics CRM workload
ee3409fe-617f-43cf-bd1e-fc8b38049e69,AuditLogsQuery-Endpoint.Read.All,Reports Reader,"Allows the app to read and query audit logs from Endpoint Data Loss Prevention workload, on behalf of the signed-in user.",Read audit logs data from Endpoint Data Loss Prevention workload
5ff2f415-e0f1-4d11-bfd0-6d87c0f667fd,AuditLogsQuery-Entra.Read.All,Reports Reader,"Allows the app to read and query audit logs from Entra (Azure AD) workload, on behalf of the signed-in user.",Read audit logs data from Entra (Azure AD) workload
6c8c71d2-c7e1-45b0-ac6d-1d2724fba6ae,AuditLogsQuery-Exchange.Read.All,Reports Reader,"Allows the app to read and query audit logs from Exchange workload, on behalf of a signed-in user.",Read audit logs data from Exchange workload
4a72c235-a50d-4870-b598-fd88fd1fa074,AuditLogsQuery-OneDrive.Read.All,Reports Reader,"Allows the app to read and query audit logs from OneDrive workload, on behalf of a signed-in user.",Read audit logs data from OneDrive workload
30630b65-ed12-4a81-9130-e3a964109fae,AuditLogsQuery-SharePoint.Read.All,Reports Reader,"Allows the app to read and query audit logs from SharePoint workload, on behalf of a signed-in user.",Read audit logs data from SharePoint workload
1d9e7ac3-0eca-442c-82f9-e92625af6e6d,AuditLogsQuery.Read.All,Reports Reader,"Allows the app to read and query audit logs from all services, on behalf of a signed-in user",Read audit logs data from all services
57b030f1-8c35-469c-b0d9-e4a077debe70,AuthenticationContext.Read.All,Security Reader,Allows the app to read all authentication context information in your organization on behalf of the signed-in user.,Read all authentication context information
ba6d575a-1344-4516-b777-1404f5593057,AuthenticationContext.ReadWrite.All,Conditional Access Administrator,Allows the app to read and update all authentication context information in your organization on behalf of the signed-in user.,Read and write all authentication context information
444ed4b6-0554-4dc6-8e9c-3f9a34ee3ff6,BackupRestore-Configuration.Read.All,Microsoft 365 Backup Administrator,"Allows the app to read the backup configuration, and list of Microsoft 365 service resources to be backed-up, on behalf of the signed in user.",Read backup configuration policies
a0244d16-171c-4496-8ffb-7b9b6954d339,BackupRestore-Configuration.ReadWrite.All,Microsoft 365 Backup Administrator,"Allows the app to read and update the backup configuration, and list of Microsoft 365 service resources to be backed-up, on behalf of the signed in user.",Read and edit backup configuration policies
af598c63-4292-4437-b925-e996354d3854,BackupRestore-Control.Read.All,Microsoft 365 Backup Administrator,"Allows the app to read the status of M365 backup service (enable/disable), on behalf of the signed in user.",Read the status of the M365 backup service
96d46335-d92d-41b8-bc9f-273a692381ea,BackupRestore-Control.ReadWrite.All,Microsoft 365 Backup Administrator,"Allows the app to update or read the status of M365 backup service (enable/disable), on behalf of the signed in user.",Update or read the status of the M365 backup service
b4e98de1-4600-4e90-b5e1-7c1dfef04e5c,BackupRestore-Monitor.Read.All,Microsoft 365 Backup Administrator,"Allows the app to monitor backup and restore jobs, view quota usage and billing details, on behalf of the signed in user.","Read monitoring, quota and billing information for the tenant"
94b36f78-434f-4904-8c08-421d9a9c1dc2,BackupRestore-Restore.Read.All,Microsoft 365 Backup Administrator,"Allows the app to read restore sessions, on behalf of the signed in user.",Read restore sessions
9f89e109-94b9-4c9b-b4fc-98cdaa54f574,BackupRestore-Restore.ReadWrite.All,Microsoft 365 Backup Administrator,"Allows the app to search the backup snapshots for Microsoft 365 resources, and restore Microsoft 365 resources from a backed-up snapshot, on behalf of the signed in user.",Read restore sessions and start restore sessions from backups
2b24830f-f435-446f-ab5a-b1e70d9a2eb5,BackupRestore-Search.Read.All,Microsoft 365 Backup Administrator,"Allows the app to search the backup snapshots for Microsoft 365 resources, on behalf of the signed in user.",Search for metadata properties in backup snapshots
2bf6d319-dfca-4c22-9879-f88dcfaee6be,BillingConfiguration.ReadWrite.All,Billing Administrator,Allows the app to read and write the billing configuration on all applications on behalf of the signed-in user.,Read and write application billing configuration
b27a61ec-b99c-4d6a-b126-c4375d08ae30,BitlockerKey.Read.All,Security Reader,"Allows the app to read BitLocker keys on behalf of the signed-in user, for their owned devices. Allows read of the recovery key.",Read BitLocker keys
5a107bfc-4f00-4e1a-b67e-66451267bc68,BitlockerKey.ReadBasic.All,Security Reader,"Allows the app to read basic BitLocker key properties on behalf of the signed-in user, for their owned devices. Does not allow read of the recovery key itself.",Read BitLocker keys basic information
d16480b2-e469-4118-846b-d3d177327bee,BusinessScenarioConfig.Read.All,Global Reader,"Allows the app to read the configurations of your organization's business scenarios, on behalf of the signed-in user.",Read business scenario configurations
c47e7b6e-d6f1-4be9-9ffd-1e00f3e32892,BusinessScenarioConfig.Read.OwnedBy,Global Reader,"Allows the app to read the configurations of business scenarios it owns, on behalf of the signed-in user.",Read business scenario configurations this app creates or owns
755e785b-b658-446f-bb22-5a46abd029ea,BusinessScenarioConfig.ReadWrite.All,SharePoint Administrator,"Allows the app to read and write the configurations of your organization's business scenarios, on behalf of the signed-in user.",Read and write business scenario configurations
b3b7fcff-b4d4-4230-bf6f-90bd91285395,BusinessScenarioConfig.ReadWrite.OwnedBy,User,"Allows the app to create new business scenarios and fully manage the configurations of scenarios it owns, on behalf of the signed-in user.",Read and write business scenario configurations this app creates or owns
25b265c4-5d34-4e44-952d-b567f6d3b96d,BusinessScenarioData.Read.OwnedBy,User,Allows the app to read all data associated with the business scenarios it owns. Data access will be attributed to the signed-in user.,Read all data for business scenarios this app creates or owns
19932d57-2952-4c60-8634-3655c79fc527,BusinessScenarioData.ReadWrite.OwnedBy,User,Allows the app to fully manage all data associated with the business scenarios it owns. Data access and changes will be attributed to the signed-in user.,Read and write all data for business scenarios this app creates or owns
305b375b-00fe-48bf-81bc-e8d78954c1b6,CallDelegation.Read,Teams Telephony Administrator,Allows the app to read delegation settings of you,Read delegation settings
599abf67-f72b-4b5f-98a3-cb38fe646118,CallDelegation.ReadWrite,Teams Telephony Administrator,Allows the app to read and write delegation settings of you,Read and write delegation settings
43431c03-960e-400f-87c6-8f910321dca3,CallEvents.Read,Compliance Administrator,Allows the app to read call event information for an organization for the signed-in user.,Read call event data
101147cf-4178-4455-9d58-02b5c164e759,Channel.Create,Teams Administrator,"Create channels in any team, on behalf of the signed-in user.",Create channels
cc83893a-e232-4723-b5af-bd0b01bcfe65,Channel.Delete.All,Teams Administrator,"Delete channels in any team, on behalf of the signed-in user.",Delete channels
2eadaff8-0bce-4198-a6b9-2cfc35a30075,ChannelMember.Read.All,Directory Readers,"Read the members of channels, on behalf of the signed-in user.",Read the members of channels
0c3e411a-ce45-4cd1-8f30-f99a3efa7b11,ChannelMember.ReadWrite.All,Teams Administrator,"Add and remove members from channels, on behalf of the signed-in user. Also allows changing a member's role, for example from owner to non-owner.",Add and remove members from channels
767156cb-16ae-4d10-8f8b-41b657c8c8c8,ChannelMessage.Read.All,Security Reader,"Allows an app to read a channel's messages in Microsoft Teams, on behalf of the signed-in user.",Read user channel messages
5922d31f-46c8-4404-9eaf-2117e390a8a4,ChannelMessage.ReadWrite,Teams Administrator,"Allows the app to read and write channel messages, on behalf of the signed-in user. This doesn't allow the app to edit the policyViolation of a channel message.",Read and write user channel messages
233e0cf1-dd62-48bc-b65b-b38fe87fcf8e,ChannelSettings.Read.All,Teams Communications Support Specialist,"Read all channel names, channel descriptions, and channel settings, on behalf of the signed-in user.","Read the names, descriptions, and settings of channels"
d649fb7c-72b4-4eec-b2b4-b15acf79e378,ChannelSettings.ReadWrite.All,Teams Administrator,"Read and write the names, descriptions, and settings of all channels, on behalf of the signed-in user.","Read and write the names, descriptions, and settings of channels"
bb64e6fc-6b6d-4752-aea0-dd922dbba588,Chat.ManageDeletion.All,Teams Administrator,"Allows the app to delete and recover deleted chats, on behalf of the signed-in user.",Delete and recover deleted chats
7e9a077b-3711-42b9-b7cb-5fa5f3f7fea7,Chat.ReadWrite.All,Compliance Data Administrator,"Allows an app to read and write all one-to-one and group chats in Microsoft Teams, without a signed-in user. Does not allow sending messages.",Read and write all chat messages
c5a9e2b1-faf6-41d4-8875-d381aa549b24,ChatMember.Read,Compliance Administrator,"Read the members of chats, on behalf of the signed-in user.",Read the members of chats
dea13482-7ea6-488f-8b98-eb5bbecf033d,ChatMember.ReadWrite,Teams Administrator,"Add and remove members from chats, on behalf of the signed-in user.",Add and remove members from chats
9d77138f-f0e2-47ba-ab33-cd246c8b79d1,CloudPC.ReadWrite.All,Windows 365 Administrator,Allows the app to read and write the properties of Cloud PCs on behalf of the signed-in user.,Read and write Cloud PCs
12ae2e92-14b5-47b2-babb-4e890bbedc0a,Community.Read.All,Global Reader,"Allows the app to list Viva Engage communities, and to read their properties on behalf of the signed-in user.",Read all Viva Engage communities
9e69467d-e0e2-402b-a926-3d796990197f,Community.ReadWrite.All,Yammer Administrator,Allows the app to create Viva Engage communities and read all community properties on behalf of the signed-in user.,Read and write all Viva Engage communities
c645bb69-adc4-4242-b620-02e635f03bf6,ConfigurationMonitoring.Read.All,Compliance Data Administrator,Allows the app to read all Configuration Monitoring entities on behalf of the signed-in user.,Read all Configuration Monitoring entities
54505ce9-e719-41f7-a7cc-dbe114e1d811,ConfigurationMonitoring.ReadWrite.All,Compliance Administrator,Allows the app to read and write all Configuration Monitoring entities on behalf of the signed-in user.,Read and write all Configuration Monitoring entities
f2143d35-9b4b-480d-951c-d083e69eeb2c,ConsentRequest.Create,Cloud Application Administrator,Allows the app to read create consent requests on behalf of the signed-in user.,Create consent requests
f3bfad56-966e-4590-a536-82ecf548ac1e,ConsentRequest.Read.All,Reports Reader,Allows the app to read consent requests and approvals on behalf of the signed-in user.,Read consent requests
e694a3a1-7878-46d8-8c29-3d195f6589f4,ConsentRequest.ReadApprove.All,Compliance Administrator,Allows the app to read and approve consent requests on behalf of the signed in user.,Read and approve consent requests
497d9dfa-3bd1-481a-baab-90895e54568c,ConsentRequest.ReadWrite.All,Compliance Administrator,"Allows the app to read app consent requests and approvals, and deny or approve those requests on behalf of the signed-in user.",Read and write consent requests
aeb2982d-632d-4155-b533-18756ab6fdd8,CopilotSettings-LimitedMode.Read,AI Administrator,Allows the app to read organization-wide copilot limited mode setting on behalf of the signed-in user.,Read organization-wide copilot limited mode setting
4704e5b2-0ada-4aa0-b18c-00ad7525bc06,CopilotSettings-LimitedMode.ReadWrite,AI Administrator,Allows the app to read and write organization-wide copilot limited mode setting on behalf of the signed-in user.,Read and write organization-wide copilot limited mode setting
81594d25-e88e-49cf-ac8c-fecbff49f994,CrossTenantInformation.ReadBasic.All,Directory Readers,Allows the application to obtain basic tenant information about another target tenant within the Azure AD ecosystem on behalf of the signed-in user.,Read cross-tenant basic information
cb1ba48f-d22b-4325-a07f-74135a62ee41,CrossTenantUserProfileSharing.Read,Compliance Administrator,"Allows the application to list and query user profile information associated with the current tenant on behalf of the signed-in user.¶ÿ It also permits the application to export external user data (e.g. customer content or system-generated logs), associated with the current tenant on behalf of the signed-in user.",Read shared cross-tenant user profile and export data
759dcd16-3c90-463c-937e-abf89f991c18,CrossTenantUserProfileSharing.Read.All,Compliance Administrator,"Allows the application to list and query any shared user profile information associated with the current tenant on behalf of the signed-in user.¶ÿ It also permits the application to export external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant on behalf of the signed-in user.",Read all shared cross-tenant user profiles and export their data
eed0129d-dc60-4f30-8641-daf337a39ffd,CrossTenantUserProfileSharing.ReadWrite,Identity Governance Administrator,"Allows the application to list and query user profile information associated with the current tenant on behalf of the signed-in user.¶ÿ It also permits the application to export and remove external user data (e.g. customer content or system-generated logs), associated with the current tenant on behalf of the signed-in user.",Read shared cross-tenant user profile and export or delete data
64dfa325-cbf8-48e3-938d-51224a0cac01,CrossTenantUserProfileSharing.ReadWrite.All,Compliance Administrator,"Allows the application to list and query any shared user profile information associated with the current tenant on behalf of the signed-in user.¶ÿ It also permits the application to export and remove external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant on behalf of the signed-in user.",Read all shared cross-tenant user profiles and export or delete their data
b2052569-c98c-4f36-a5fb-43e5c111e6d0,CustomAuthenticationExtension.Read.All,Global Reader,Allows the app to read your organization's custom authentication extensions on behalf of the signed-in user.,Read your organization's custom authentication extensions
8dfcf82f-15d0-43b3-bc78-a958a13a5792,CustomAuthenticationExtension.ReadWrite.All,Authentication Extensibility Administrator,Allows the app to read or write your organization's custom authentication extensions on behalf of the signed-in user.,Read and write your organization's custom authentication extensions
b13ff42e-f321-4d7d-a462-141c46a1b832,CustomDetection.Read.All,Security Reader,Allows the app to read custom detection rules on behalf of the signed-in user.,Read custom detection rules
c34088fb-0649-4714-af0b-bcbfec155897,CustomDetection.ReadWrite.All,Compliance Administrator,Allows the app to read and write custom detection rules on behalf of the signed-in user.,Read and write custom detection rules
b46ffa80-fe3d-4822-9a1a-c200932d54d0,CustomSecAttributeAssignment.Read.All,Attribute Assignment Reader,Allows the app to read custom security attribute assignments for all principals in the tenant on behalf of a signed in user.,Read custom security attribute assignments
ca46335e-8453-47cd-a001-8459884efeae,CustomSecAttributeAssignment.ReadWrite.All,Attribute Assignment Administrator,Allows the app to read and write custom security attribute assignments for all principals in the tenant on behalf of a signed in user.,Read and write custom security attribute assignments
1fcdeaab-b519-44dd-bffc-ed1fd15a24e0,CustomSecAttributeAuditLogs.Read.All,Attribute Log Reader,"Allows the app to read audit logs for events that contain information about custom security attributes, on behalf of the signed-in user.",Read custom security attribute audit logs
ce026878-a0ff-4745-a728-d4fedd086c07,CustomSecAttributeDefinition.Read.All,Attribute Definition Reader,Allows the app to read custom security attribute definitions for the tenant on behalf of a signed in user.,Read custom security attribute definitions
8b0160d4-5743-482b-bb27-efc0a485ca4a,CustomSecAttributeDefinition.ReadWrite.All,Attribute Definition Administrator,Allows the app to read and write custom security attribute definitions for the tenant on behalf of a signed in user.,Read and write custom security attribute definitions
9ddd870d-077c-49e7-b3e3-6b3012a8a880,CustomSecAttributeProvisioning.Read.All,Attribute Provisioning Reader,Allows the app to read the provisioning configuration of all active custom security attributes on behalf of a signed in user.,Read the provisioning configuration of all active custom security attributes
1140d9e4-6776-433e-a9e4-b9831adbb2e0,CustomSecAttributeProvisioning.ReadWrite.All,Attribute Provisioning Administrator,Allows the app to read and edit the provisioning configuration of all active custom security attributes on behalf of a signed in user.,Read and edit the provisioning configuration of all active custom security attributes
de6ea87d-10bd-467c-8682-d525a0c61b89,CustomTags.Read.All,Compliance Administrator,Read custom tags data on behalf of the signed-in user,Read all custom tags data
2f1bbe0a-f34b-4efb-9edb-8db8dcb50eca,CustomTags.ReadWrite.All,Compliance Data Administrator,Read and write custom tags data on behalf of the signed-in user,Read and write custom tags data
0c0064ea-477b-4130-82a5-4c2cc4ff68aa,DelegatedAdminRelationship.Read.All,Directory Readers,Allows the app to read details of delegated admin relationships with customers like access details (that includes roles) and the duration as well as specific role assignments to security groups on behalf of the signed-in user.,Read Delegated Admin relationships with customers
885f682f-a990-4bad-a642-36736a74b0c7,DelegatedAdminRelationship.ReadWrite.All,Partner Tier2 Support,Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers as well as role assignments to security groups for active Delegated Admin relationships on behalf of the signed-in user.,Manage Delegated Admin relationships with customers
a197cdc4-a8e8-4d49-9d35-4ca7c83887b4,DelegatedPermissionGrant.Read.All,Security Reader,"Allows the app to read delegated permission grants, on behalf of the signed in user.",Read delegated permission grants
41ce6ca6-6826-4807-84f1-1c82854f7ee5,DelegatedPermissionGrant.ReadWrite.All,Conditional Access Administrator,"Allows the app to manage permission grants for delegated permissions exposed by any API (including Microsoft Graph), on behalf of the signed in user.",Manage all delegated permission grants
edc92e89-a987-48a9-911a-a7b1967dd7b1,Device.CreateFromOwnedTemplate,Windows 365 Administrator,"Allows the app to create device objects based on device templates owned by the signed-in user, on behalf of the signed in user.",Create devices based on owned device templates
951183d1-1a61-466f-a6d1-1fde911bfd95,Device.Read.All,Directory Readers,Allows the app to read your organization's devices' configuration information on behalf of the signed-in user.,Read all devices
280b3b69-0437-44b1-bc20-3b2fca1ee3e9,DeviceLocalCredential.Read.All,Helpdesk Administrator,"Allows the app to read device local credential properties including passwords, on behalf of the signed-in user.",Read device local credential passwords
9917900e-410b-4d15-846e-42a357488545,DeviceLocalCredential.ReadBasic.All,Directory Readers,"Allows the app to read device local credential properties excluding passwords, on behalf of the signed-in user.",Read device local credential properties
4edf5f54-4666-44af-9de9-0144fb4b6e8c,DeviceManagementApps.Read.All,Intune Administrator,"Allows the app to read the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune.",Read Microsoft Intune apps
7b3f05d5-f68c-4b8d-8c59-a2ecd12f24af,DeviceManagementApps.ReadWrite.All,Intune Administrator,"Allows the app to read and write the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune.",Read and write Microsoft Intune apps
ac5c8443-d999-471f-9247-ce92cf5c5560,DeviceManagementCloudCA.Read.All,Compliance Administrator,Allows the app to read certification authority information on behalf of the signed-in user.,Read Microsoft Cloud PKI objects
93028c58-65aa-48db-a706-1fe4ada325ec,DeviceManagementCloudCA.ReadWrite.All,Compliance Administrator,Allows the app to read and write certification authority information on behalf of the signed-in user.,Read and write Microsoft Cloud PKI objects
f1493658-876a-4c87-8fa7-edb559b3476a,DeviceManagementConfiguration.Read.All,Intune Administrator,Allows the app to read properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups.,Read Microsoft Intune Device Configuration and Policies
0883f392-0a7a-443d-8c76-16a6d39c7b63,DeviceManagementConfiguration.ReadWrite.All,Intune Administrator,Allows the app to read and write properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups.,Read and write Microsoft Intune Device Configuration and Policies
3404d2bf-2b13-457e-a330-c24615765193,DeviceManagementManagedDevices.PrivilegedOperations.All,Intune Administrator,Allows the app to perform remote high impact actions such as wiping the device or resetting the passcode on devices managed by Microsoft Intune.,Perform user-impacting remote actions on Microsoft Intune devices
314874da-47d6-4978-88dc-cf0d37f0bb82,DeviceManagementManagedDevices.Read.All,Compliance Administrator,Allows the app to read the properties of devices managed by Microsoft Intune.,Read Microsoft Intune devices
44642bfe-8385-4adc-8fc6-fe3cb2c375c3,DeviceManagementManagedDevices.ReadWrite.All,Intune Administrator,Allows the app to read and write the properties of devices managed by Microsoft Intune. Does not allow high impact operations such as remote wipe and password reset on the deviceƒ??s owner.,Read and write Microsoft Intune devices
49f0cc30-024c-4dfd-ab3e-82e137ee5431,DeviceManagementRBAC.Read.All,Security Reader,Allows the app to read the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings.,Read Microsoft Intune RBAC settings
0c5e8a55-87a6-4556-93ab-adc52c4d862d,DeviceManagementRBAC.ReadWrite.All,Intune Administrator,Allows the app to read and write the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings.,Read and write Microsoft Intune RBAC settings
d32381d8-ee89-4220-9c83-b672aa68d404,DeviceManagementScripts.Read.All,Security Reader,"Allows the app to read Microsoft Intune device compliance scripts, device management scripts, device shell scripts, device custom attribute shell scripts and device health scripts on behalf of the signed in user.",Read Microsoft Intune Scripts
8b9d79d0-ad75-4566-8619-f7500ecfcebe,DeviceManagementScripts.ReadWrite.All,Intune Administrator,"Allows the app to read and write Microsoft Intune device compliance scripts, device management scripts, device shell scripts, device custom attribute shell scripts and device health scripts on behalf of the signed in user.",Read and write Microsoft Intune Scripts
8696daa5-bce5-4b2e-83f9-51b6defc4e1e,DeviceManagementServiceConfig.Read.All,Global Reader,Allows the app to read Microsoft Intune service properties including device enrollment and third party service connection configuration.,Read Microsoft Intune configuration
662ed50a-ac44-4eef-ad86-62eed9be2a29,DeviceManagementServiceConfig.ReadWrite.All,Intune Administrator,Allows the app to read and write Microsoft Intune service properties including device enrollment and third party service connection configuration.,Read and write Microsoft Intune configuration
0b1717ff-3e42-4a73-8c29-e6b2e1093960,DeviceTemplate.Create,Cloud Device Administrator,"Allows the app to create device templates on behalf of the signed in user. The user is marked as owners of the created device template. As a member of owners, the user will be allowed to manage devices created from the template.",Create device templates
2bcae0b0-aa93-48e4-a9e4-855482dffdcd,DeviceTemplate.Read.All,Cloud Device Administrator,"Allows the app to read all device templates, on behalf of the signed in user.",Read all device templates
2d372e98-f1ae-406c-a157-2ea83f6f5e4a,DeviceTemplate.ReadWrite.All,Cloud Device Administrator,"Allows the app to create, read, update and delete the device template, on behalf of the signed in user. It also allows the app to add or remove owners on any device template.",Read and write all device templates
0e263e50-5827-48a4-b97c-d940288653c7,Directory.AccessAsUser.All,Global Administrator,Allows the app to have the same access to information in the directory as the signed-in user.,Access directory as the signed in user
06da0dbc-49e2-44d2-8312-53f166ab848a,Directory.Read.All,Directory Readers,"Allows the app to read data in your organization's directory, such as users, groups and apps.",Read directory data
c5366453-9fb0-48a5-a156-24f0c49a4b84,Directory.ReadWrite.All,Directory Writers,"Allows the app to read and write data in your organization's directory, such as users, and groups.  It does not allow the app to delete users or groups, or reset user passwords.",Read and write directory data
34d3bd24-f6a6-468c-b67c-0c365c1d6410,DirectoryRecommendations.Read.All,Directory Readers,"Allows the app to read Azure AD recommendations, on behalf of the signed-in user.",Read Azure AD recommendations
f37235e8-90a0-4189-93e2-e55b53867ccd,DirectoryRecommendations.ReadWrite.All,Conditional Access Administrator,"Allows the app to read and update Azure AD recommendations, on behalf of the signed-in user.",Read and update Azure AD recommendations
2f9ee017-59c1-4f1d-9472-bd5529a7b311,Domain.Read.All,Global Reader,Allows the app to read all domain properties on behalf of the signed-in user.,Read domains.
0b5d694c-a244-4bde-86e6-eb5cd07730fe,Domain.ReadWrite.All,Domain Name Administrator,"Allows the app to read and write all domain properties on behalf of the signed-in user. Also allows the app to add, verify and remove domains.",Read and write domains
99201db3-7652-4d5a-809a-bdb94f85fe3c,eDiscovery.Read.All,Compliance Administrator,"Allows the app to read eDiscovery objects such as cases, custodians, review sets and other related objects on behalf of the signed-in user.",Read all eDiscovery objects
acb8f680-0834-4146-b69e-4ab1b39745ad,eDiscovery.ReadWrite.All,Compliance Administrator,"Allows the app to read and write eDiscovery objects such as cases, custodians, review sets and other related objects on behalf of the signed-in user.",Read and write all eDiscovery objects
8523895c-6081-45bf-8a5d-f062a2f12c9f,EduAdministration.Read,Global Reader,Read the state and settings of all Microsoft education apps on behalf of the user.,Read education app settings
63589852-04e3-46b4-bae9-15d5b1050748,EduAdministration.ReadWrite,Intune Administrator,Manage the state and settings of all Microsoft education apps on behalf of the user.,Manage education app settings
091460c9-9c4a-49b2-81ef-1f3d852acce2,EduAssignments.Read,Directory Readers,Allows the app to read assignments and their grades on behalf of the user.,Read users' class assignments and their grades
c0b0103b-c053-4b2e-9973-9f3a544ec9b8,EduAssignments.ReadBasic,Directory Readers,Allows the app to read assignments without grades on behalf of the user.,Read users' class assignments without grades
2f233e90-164b-4501-8bce-31af2559a2d3,EduAssignments.ReadWrite,Teams Administrator,Allows the app to read and write assignments and their grades on behalf of the user.,Read and write users' class assignments and their grades
